id,zhh,zhh_pron,is_r18,chs,en,register,intent
L319,死撚埋一邊,sei2 nan2 maai4 jat1 bin1,1,走开/起开/滚/他妈的给我滚,get out of here/fuck off/get lost/get out of here/beat it/get out,Colloquial,
L320,吟吟尋尋,ngam4 ngam4 cam4 cam4,0,叽叽歪歪/唧唧歪歪/窃窃细语/唠唠叨叨,muttering/naggy/yammering/to complain and criticize/to be pesky,Colloquial,
L321,依依鵝鵝,ji4 ji1 ngo4 ngo4,0,叽叽歪歪/唧唧歪歪/窃窃细语/唠唠叨叨/依依哦哦,muttering/naggy/yammering/to complain and criticize/to be pesky,Colloquial,
L322,咦咿𠹷𠹷,ji4 ji1 ngo4 ngo4,0,叽叽歪歪/唧唧歪歪/窃窃细语/唠唠叨叨/依依哦哦,muttering/naggy/yammering/to complain and criticize/to be pesky,Colloquial,
L323,咦咦哦哦,ji4 ji1 ngo4 ngo4,0,叽叽歪歪/唧唧歪歪/窃窃细语/唠唠叨叨/依依哦哦,muttering/naggy/yammering/to complain and criticize/to be pesky,Colloquial,
L324,咿咿𠹷𠹷,ji4 ji1 ngo4 ngo4,0,叽叽歪歪/唧唧歪歪/窃窃细语/唠唠叨叨/依依哦哦,muttering/naggy/yammering/to complain and criticize/to be pesky,Colloquial,
L325,點极唔明,dim2 gik6 m4 ming4,0,思想不开通/吃古不化/怎么说都说不明白,narrow minded/conservatives/fuddy duddy/dogged/stubborn/obstinate,Colloquial,
L326,講极唔通,gong2 gik6 m4 tung1,0,思想不开通/吃古不化/怎么说都说不明白,narrow minded/conservatives/fuddy duddy/dogged/stubborn/obstinate,Colloquial,
L327,點撚樣行,dim2 nan2 joeng6 haang4,1,怎么去/怎样去/怎么走/点鬼样行,how to get there,Colloquial,
L328,點撚行,dim2 nan2 haang4,1,怎么去/怎样去/怎么走/点鬼样行,how to get there,Colloquial,
L329,點柒樣行,dim2 cat6 joeng6 haang4,1,怎么去/怎样去/怎么走/点鬼样行,how to get there,Colloquial,
L330,點柒行,dim2 cat6 haang4,1,怎么去/怎样去/怎么走/点鬼样行,how to get there,Colloquial,
L331,點鳩樣行,dim2 gau1 joeng6 haang4,1,怎么去/怎样去/怎么走/点鬼样行,how to get there,Colloquial,
L332,點閪樣行,dim2 hai1 joeng6 haang4,1,怎么去/怎样去/怎么走/点鬼样行,how to get there,Colloquial,
L333,硬鳩頸,ngaang6 gau1 geng2,1,思想不开通/吃古不化/硬颈,narrow minded/conservatives/fuddy duddy/dogged/stubborn/obstinate,Colloquial,
L334,咁柒硬頸,gam3 cat6 ngaang6 geng2,1,思想不开通/吃古不化/硬颈,narrow minded/conservatives/fuddy duddy/dogged/stubborn/obstinate,Colloquial,
L335,咁撚硬頸,gam2 nan2 ngaang6 geng2,1,思想不开通/吃古不化/硬颈,narrow minded/conservatives/fuddy duddy/dogged/stubborn/obstinate,Colloquial,
L336,咁閪硬頸,gam2 hai1 ngaang6 geng2,1,思想不开通/吃古不化/硬颈,narrow minded/conservatives/fuddy duddy/dogged/stubborn/obstinate,Colloquial,
L337,咁鳩硬頸,gam2 gau1 ngaang6 geng2,1,思想不开通/吃古不化/硬颈,narrow minded/conservatives/fuddy duddy/dogged/stubborn/obstinate,Colloquial,
L338,𠸎㨢,na1 neng3,0,连结/瓜葛/关系,linkage/unresolved matters/relation/association,Colloquial,
L339,啦掕,aa1 lang3,0,连结/瓜葛/关系,linkage/unresolved matters/relation/association,Colloquial,
L340,挐掕,aa1 lang4,0,连结/瓜葛/关系,linkage/unresolved matters/relation/association,Colloquial,
L341,啦㨢,aa1 lang5,0,连结/瓜葛/关系,linkage/unresolved matters/relation/association,Colloquial,
L342,冇挐冇掕,mou5 naa1 mou5 nang3,0,毫无关系/没有任何瓜葛,completely unrelated,Colloquial,
L343,瓜葛,gwaa1 got3,0,连结/瓜葛/关系,linkage/unresolved matters/relation/association,Formal,
L344,咁撚着數？,gam2 nan2 zoek6 sou3,1,沒有免費的午餐/天上不会掉馅饼,too good to be true/It's not that simple/something too good to be true/There is no free lunch,Colloquial,ask
L345,咁柒着數？,gam2 cat6 zoek6 sou3,1,沒有免費的午餐/天上不会掉馅饼,too good to be true/It's not that simple/something too good to be true/There is no free lunch,Colloquial,ask
L346,猜FING,caai1 FING,0,剪刀石头布/石头剪刀布,Rock Paper Scissors,Colloquial,
L347,黑水,hak1 seoi2,0,咖啡,coffee/cafe,Colloquial,
L348,廢水 ,fai3 seoi2,0,饮料,drinks/drinkable,Colloquial,
L349,忽飯,fat1 faan6,0,盛饭,to fill a bowl with rice,Colloquial,
L350,裝飯,zong1 faan6,0,盛饭,to fill a bowl with rice,Colloquial,
L351,潷飯,bat1 faan6,0,盛饭,to fill a bowl with rice,Colloquial,
L352,歌度,go1 dou6,0,那里/那,there,Colloquial,
L353,嗰度,go2 dou6,0,那里/那,there,Colloquial,
L354,唔濕你,m4 sap1 nei5,0,不理你,Ignoring you,Colloquial,
L355,唔睬你,m4 coi2 nei5,0,不理你,Ignoring you,Colloquial,
L356,班房,baan1 fong4,0,课室,class,Colloquial,
L357,吖sir,aa4 soe4,0,男老师/男警官,male teacher/sir,Colloquial,
L358,miss,miss,0,女老师,miss/female teacher,Colloquial,
L359,吖蛇,aa4 se4,0,男老师/男警官,male teacher/sir,Colloquial,
L360,嚼完倯,ziu6 jyun4 sung1,0,占完便宜就走/赵元松/偷偷占便宜/吃了就跑/占便宜/白嫖,to not take any responsibility after exploiting others for self-interest/especially referring to abandoning somebody after having sex with him//especially referring to abandoning somebody after having sex with her/to not take any responsibility/to use and dump,Colloquial,
L361,中出即飛,zung1 ceot1 zik1 fei1,0,占完便宜就走/赵元松/偷偷占便宜/吃了就跑/占便宜/白嫖,to not take any responsibility after exploiting others for self-interest/especially referring to abandoning somebody after having sex with him//especially referring to abandoning somebody after having sex with her/to not take any responsibility/to use and dump,Formal,
L362,𡁻完鬆,ziu6 jyun4 sung1,0,占完便宜就走/赵元松/偷偷占便宜/吃了就跑/占便宜/白嫖,to not take any responsibility after exploiting others for self-interest/especially referring to abandoning somebody after having sex with him//especially referring to abandoning somebody after having sex with her/to not take any responsibility/to use and dump,Colloquial,
L363,過橋抽板,gwo3 kiu4 cau1 baan2,0,占完便宜就走/赵元松/偷偷占便宜/吃了就跑/占便宜/白嫖,to not take any responsibility after exploiting others for self-interest/especially referring to abandoning somebody after having sex with him//especially referring to abandoning somebody after having sex with her/to not take any responsibility/to use and dump,Slang,
L364,打完齋唔要和尚,daa2 jyun4 zaai1 m4 jiu3 wo4 soeng2,0,占完便宜就走/赵元松/偷偷占便宜/吃了就跑/占便宜/白嫖,to not take any responsibility after exploiting others for self-interest/especially referring to abandoning somebody after having sex with him//especially referring to abandoning somebody after having sex with her/to not take any responsibility/to use and dump,Slang,
L365,過河拆橋,gwo3 ho4 caak3 kiu4,0,占完便宜就走/赵元松/偷偷占便宜/吃了就跑/占便宜/过河拆桥/白嫖,to not take any responsibility after exploiting others for self-interest/especially referring to abandoning somebody after having sex with him//especially referring to abandoning somebody after having sex with her/to not take any responsibility/to use and dump,Formal,
L366,過河抽板,gwo3 ho4 cau1 baan2,0,占完便宜就走/赵元松/偷偷占便宜/吃了就跑/占便宜/白嫖,to not take any responsibility after exploiting others for self-interest/especially referring to abandoning somebody after having sex with him//especially referring to abandoning somebody after having sex with her/to not take any responsibility/to use and dump,Formal,
L367,呃蝦條,ak1 haa1 tiu2,0,占完便宜就走/赵元松/偷偷占便宜/吃了就跑/占便宜/白嫖,to not take any responsibility after exploiting others for self-interest/especially referring to abandoning somebody after having sex with him//especially referring to abandoning somebody after having sex with her/to not take any responsibility/to use and dump,Colloquial,
L368,呃閪屌,ak1 hai1 tiu2,1,占完便宜就走/赵元松/偷偷占便宜/吃了就跑/占便宜/白嫖,to not take any responsibility after exploiting others for self-interest/especially referring to abandoning somebody after having sex with him//especially referring to abandoning somebody after having sex with her/to not take any responsibility/to use and dump,Colloquial,
L369,𡁻完唱,ziu6 jyun4 coeng3,0,占完便宜还到处诋毁/占便宜/白嫖,to not take any responsibility after exploiting others for self-interest/especially referring to abandoning somebody after having sex with him//especially referring to abandoning somebody after having sex with her/to not take any responsibility/to use and dump,Colloquial,
L370,𡁻完踩,ziu6 jyun4 jaai2,0,占完便宜还到处诋毁/占便宜/白嫖,to not take any responsibility after exploiting others for self-interest/especially referring to abandoning somebody after having sex with him//especially referring to abandoning somebody after having sex with her/to not take any responsibility/to use and dump,Colloquial,
L371,搞掂,gaau2 dim6,0,完成/搞定,finish/complete,Colloquial,
L372,好犀利,hou2 sai1 lei6,0,很厉害/好厉害/猴犀利/好犀利,awesome,Colloquial,
L373,收皮,sau1 pei4,0,闭嘴/完蛋/省省吧/别吵/不要吵/别烦/不要闹/玩完/滚开/滚蛋/闭嘴/住口,Shut up/It's over/Save it/Don't argue/Don't bother/Don't make a fuss/It's over/Get lost/Piss off/Knock it off,Colloquial,
L374,唔該,m4 goi1,0,谢谢/麻烦借过,please/thanks/excuse me,Colloquial,
L375,烏搲,wu1 we2,0,不整洁/不修边幅/不打扮/邋遢/没仪容,ugly/in bad shape,Colloquial,
L376,複灼 ,fuk1 coek3,0,报仇/复仇,go back again/fight back/revenge,Colloquial,
L377,覆卓,fuk1 coek3,0,报仇/复仇,go back again/fight back/revenge,Colloquial,
L378,翻啅,faan1 coek1,0,一次又一次/同一件事再做一次/再来一次,eat again/again,Colloquial,
L379,牛鬼蛇神,ngau4 gwat1 se4 san4,0,草台班子,rabbles/political heretics/extra,Colloquial,
L380,沙哩弄銃,aa4 li1 lung6 cung6,0,草台班子/搞搞震/粗心大意/鲁莽,rabbles/political heretics/messy/careless/sloppy,Colloquial,
L381,茄哩啡,ke1 le1 fe1,0,草台班子/临死演员/路人甲/跑龙套,rabbles/political heretics/extra/unimportant person/two hit six,Colloquial,
L382,二打六,ji6 daa2 luk2,0,草台班子/临死演员/路人甲/跑龙套,rabbles/political heretics/extra/unimportant person/two hit six,Colloquial,
L383,臨記,lam4 gei3,0,草台班子/临死演员/路人甲/跑龙套,rabbles/political heretics/extra/unimportant person/two hit six,Colloquial,
L384,跑龍套,paau2 lung4 tou3,0,草台班子/临死演员/路人甲/跑龙套,rabbles/political heretics/extra/unimportant person/two hit six,Formal,
L385,卡啦蘇,kaa4 laa1 sou1,0,草台班子/临死演员/路人甲/跑龙套,rabbles/political heretics/extra/unimportant person/two hit six,Colloquial,
L386,一班蛋饊,jat1 baan1 daan6 saan2,0,草台班子/临死演员/路人甲/一群跑龙套,rabbles/political heretics/extra/unimportant person/two hit six,Colloquial,
L387,成班粉腸,sing4 baan1 fan2 coeng4,0,草台班子/临死演员/路人甲/一群跑龙套,rabbles/political heretics/extra/unimportant person/two hit six,Colloquial,
L388,成班契弟,sing4 baan1 kai3 dai6,0,草台班子/临死演员/路人甲/一群跑龙套,rabbles/political heretics/extra/unimportant person/two hit six,Colloquial,
L389,指教下,zi2 gaau3 haa5,0,指点一下/提点一下,Give him/her some pointers,Colloquial,
L390,指點下,zi2 dim2 haa5,0,指点一下/提点一下,Give him/her some pointers,Colloquial,
L391,呃鬼食豆腐,ngaak1 gwai2 sik6 dau6 fu6,0,当我是傻子/你当我好骗吗/欺骗/吹嘘/吹牛/忽悠,to lie to a ghost to eat tofu/do you think I'm easy to fool/to fool/to lie/lie/boasting,Slang,
L392,车大炮,ce1 daai6 paau3 ,0,欺骗/车大炮/吹嘘/吹牛, to brag/to boast/to fool/to talk bullshit/talk bullshit/to lie/lie/to boast/boast/boasting,Colloquial,
L393,呃鬼食道符,ngaak1 gwai2 sik6 dou6 fu4,0,当我是傻子/你当我好骗吗/欺骗/吹嘘/吹牛,to lie to a ghost to eat tofu/do you think I'm easy to fool/to fool/to lie/lie/boast/boasting,Slang,
L394,呃鬼啦你,ngaak1 gwai2 laa1 nei5,0,当我是傻子/你当我好骗吗/欺骗/吹嘘/吹牛, to brag/to boast/to fool/to talk bullshit/talk bullshit/to lie/lie/to boast/boast/boasting/banana oil,Colloquial,
L395,吹水唔抹咀,ceoi1 seoi2 m4 maat3 zeoi2 ,0,欺骗/吹水唔抹嘴/吹水5抹嘴/吹嘘/吹牛,to talk bullshit/talk bullshit/to lie/lie/to tell big lies/to boast/boast/boasting/banana oil,Colloquial,
L396,吹噓,ceoi1 heoi1,0,吹牛/乱说话/胡扯/瞎扯/说谎/胡说八道/吹嘘/胡扯/瞎扯/欺骗/撒谎/瞎编,to brag/brag/to talk bullshit/talk bullshit/boast/boasting,Colloquial,
L397,亂咁噏,lyun6 gam3 ap1,0,乱说话/胡扯/瞎扯/说谎/胡说八道/吹嘘/胡扯/瞎扯/欺骗/撒谎/瞎编,talking nonsense/spouting rubbish/boasting/banana oil,Colloquial,
L398,作大,zok3 daai6,0,胡扯/瞎扯/说谎/胡说八道/吹嘘/胡扯/瞎扯/欺骗/撒谎/瞎编,to talk bullshit/to lie/lie/to tell big lies/to boast/boasting/to exaggerate/to overstate/overstate/exaggerate/bluffing,Colloquial,
L399,老作,lou5 zok3,0,胡扯/瞎扯/说谎/胡说八道/吹嘘/胡扯/瞎扯/欺骗/撒谎/瞎编,to talk bullshit/to lie/lie/to tell big lies/to boast/boasting/faking/make up to invent,Colloquial,
L400,講大話,gong2 daai6 waa6,0,说谎/胡说八道/吹嘘/胡扯/瞎扯/欺骗/撒谎/瞎编,to talk bullshit/to lie/lie/to tell big lies/to boast/Boasting/fib/to fib/banana oil,Formal,
L401,認叻,jing6 lek1,0,耍帅/认叻/炫耀/装聪明/吹嘘/逞强/小聪明/自作聪明/故作聪明/骄傲自大, to brag about/to crow over/show off/brag about/show off/to boast/boasting,Colloquial,
L402,亂噏廿四,lyun6 ap1 jaa6 sei3,0,乱说话/胡说八道/吹嘘/乱up24/胡扯/瞎扯,Talking nonsense/Spouting rubbish /boasting/banana oil,Slang,
L403,吹水,ceoi1 seoi2,0,欺骗/吹水唔抹嘴/吹水5抹嘴/吹嘘/吹牛,to talk bullshit/talk bullshit/to lie/lie/to tell big lies/to boast/boast/boasting/bluffing/banana oil,Colloquial,
L404,吹牛屄,ceoi1 ngau4 hai1,1,吹牛/吹嘘/吹牛逼/吹牛B,to talk bullshit/talk bullshit/to lie/lie/to tell big lies/to boast/boast/boasting/bluffing,Colloquial,
L405,讕叻,laan2 lek1,0,装酷/耍酷/耍帅/认叻/炫耀/吹嘘/逞强 ,to brag about/to crow over/show off/brag about/show off/to boast/boasting,Colloquial,
L406,讕型,laan2 jing4,0,装酷/耍酷/耍帅/认叻/炫耀/卖弄/吹嘘/逞强/装逼/装B/装,to brag about/show off/brag about/show off/boasting/acting cool,Colloquial,
L407,讕大方,laan2 daai6 fong1,0,不必要地表现出慷慨/貌似很大方/假装慷慨,to pretend to be generous/pretend to be generous,Colloquial,
L408,認鳩叻,jing6 gau1 lek1,1,耍帅/认叻/炫耀/卖弄/吹嘘/逞强,to brag about/to crow over/show off/brag about/show off/to boast/boasting,Colloquial,
L409,呃人,ngaak1 jan4,0,说谎/骗人/吹嘘/胡扯/瞎扯/欺骗/撒谎/忽悠,to mislead someone deliberately/lying/deceiving/boasting/talking nonsense/blathering/cheating/telling lies/to lie/lie,Colloquial,
L410,放葫蘆,fong3 wu4 lou4,0,说谎/骗人/吹嘘/胡扯/瞎扯/欺骗/撒谎/放葫芦,lying/deceiving/boasting/talking nonsense/blathering/cheating/telling lies/to lie/lie/bluffing,Colloquial,
L411,吹大咗,ceoi1 daai6 zo2,0,胡扯/瞎扯/说谎/胡说八道/吹嘘/胡扯/瞎扯/欺骗/撒谎/瞎编,to talk bullshit/to lie/lie/to tell big lies/to boast/boasting/to exaggerate/to overstate/overstate/exaggerate/bluffing,Colloquial,
L412,讕正經,laan2 zing3 ging1,0,假正经/故作正经/装逼/装B/装,act decent/feigning seriousness/pretending to be serious,Colloquial,
L413,扮嗮嘢,baan6 saai3 je5,0,假正经/故作正经/装逼/装B/装,act decent/feigning seriousness/pretending to be serious,Colloquial,
L414,扮鳩嗮嘢,baan6 gau1 ai3 je5,1,假正经/故作正经/装逼/装B/装,act decent/feigning seriousness/pretending to be serious,Colloquial,
L415,扮柒嗮嘢,baan6 cat6 ai3 je5,1,假正经/故作正经/装逼/装B/装,act decent/feigning seriousness/pretending to be serious,Colloquial,
L416,扮撚嗮嘢,baan6 nan2 ai3 je5,1,假正经/故作正经/装逼/装B/装,act decent/feigning seriousness/pretending to be serious,Colloquial,
L417,扮閪嗮嘢,baan6 hai1 ai3 je5,1,假正经/故作正经/装逼/装B/装,act decent/feigning seriousness/pretending to be serious,Colloquial,
L418,扮Q嗮嘢,baan6 Q saai3 je5,0,假正经/故作正经/装逼/装B/装,act decent/feigning seriousness/pretending to be serious,Colloquial,
L419,讕架勢,laan2 gaa3 sai3,0,装酷/耍酷/耍帅/认叻/炫耀/卖弄/吹嘘/逞强 ,to brag about/to crow over/show off/brag about/show off/to boast/boasting/boast,Colloquial,
L420,充排場,cung1 paai4 coeng2,0,装酷/耍酷/耍帅/认叻/炫耀/卖弄/吹嘘/逞强 ,to brag about/to crow over/show off/brag about/show off/to boast/boasting/boast,Colloquial,
L421,不自量力,bat1 zi6 loeng6 lik6,0,装酷/耍酷/耍帅/认叻/炫耀/卖弄/吹嘘/逞强 ,to brag about/to crow over/show off/brag about/show off/to boast/boasting/boast,Formal,
L422,不鳩自量力,bat1 gau1 zi6 loeng6 lik6,1,装酷/耍酷/耍帅/认叻/炫耀/卖弄/吹嘘/逞强 ,to brag about/to crow over/show off/brag about/show off/to boast/boasting/boast,Colloquial,
L423,讕熟落,laan2 suk6 lok6,0,装友好/装熟/虚伪/假装友好,to pretend to be well-acquainted with someone/Pretending to be familiar,Colloquial,
L424,讕熟,laan2 suk6 ,0,装友好/装熟/虚伪/假装友好,to pretend to be well-acquainted with someone/Pretending to be familiar,Colloquial,
L425,讕閪熟,laan2 hai1 suk6 ,1,装友好/装熟/虚伪/假装友好,to pretend to be well-acquainted with someone/Pretending to be familiar,Colloquial,
L426,讕閪唔熟噉,laan2 hai1 m4 suk6 gam2,1,装不熟/装不认识/假装不认识/假装不熟,pretending not to know each other/pretending not to admit defeat,Colloquial,
L427,讕客氣,aan2 haak3 hei3,0,假装客气/装客气/虚伪/假客气,pretending to be polite/feigning politeness/insincere politeness/false politeness,Colloquial,
L428,讕醒,laan2 sing2,0,耍帅/认叻/炫耀/装聪明/吹嘘/逞强/小聪明/自作聪明/故作聪明/骄傲自大/懒醒, to brag about/to crow over/show off/brag about/show off/to boast/boasting/to pretend to be smart,Colloquial,
L429,讕鳩醒噉,laan2 gau1 sing2 gam2,1,耍帅/认叻/炫耀/装聪明/吹嘘/逞强/小聪明/自作聪明/故作聪明/骄傲自大/懒醒, to brag about/to crow over/show off/brag about/show off/to boast/boasting/to pretend to be smart,Colloquial,
L430,讕神秘,laan2 san4 bei3,0,故作神秘,To act mysteriously,Colloquial,
L431,響度,hoeng2 dou6 ,0,在这/在这里/在场/存在/响到,here/there/present/existing,Colloquial,
L432,呢度,nei4 dou6,0,在这/在这里/在场/存在/响到,here/there/present/existing,Colloquial,
L433,喺度,hai2 dou6,0,在这/在这里/在场/存在/响到,here/there/present/existing,Colloquial,
L434,響嗰度,hoeng2 go2 dou6,0,在那里/在那,there,Colloquial,
L435,喺嗰度,hai2 go2 dou6,0,在那里/在那,there,Colloquial,
L436,響撚,hai2 nan2,1,在这个屁/在这里个屁/在场个屁/存在个屁/响到,here/there/present/existing/In this damn place,Colloquial,
L437,響閪,hai2 hai1,1,在这个屁/在这里个屁/在场个屁/存在个屁/响到,here/there/present/existing/In this damn place,Colloquial,
L438,響鳩,hai2 gau1 hai1,1,在这个屁/在这里个屁/在场个屁/存在个屁/响到,here/there/present/existing/In this damn place,Colloquial,
L439,喺閪嗰度,hai2 hai1 go2 dou6,1,在那里哪有/在那哪有,there/where is it,Colloquial,
L440,燶,nung1,0,脸色难看/卖相难看/烧焦/焦了/煳了/㶶/黑脸/脸很臭/臭着脸/不高兴/板着脸/拉长着脸,to burn/to scorch/burnt/charred/drastic drop in stock market/pull a long face/to look angry/unhappy,Colloquial,
L441,燶起塊臉,nung1 hei2 faai3 min6,0,脸色难看/黑脸/脸很臭/臭着脸/不高兴/板着脸/拉长着脸,pull a long face/to look angry/unhappy,Colloquial,
L442,黑起塊臉,hak1 hei2 faai3 min6,0,脸色难看/黑脸/脸很臭/臭着脸/不高兴/板着脸/拉长着脸,pull a long face/to look angry/unhappy,Colloquial,
L443,燶口燶面,nung1 hau2 nung1 min6,0,脸色难看/黑脸/脸很臭/臭着脸/不高兴/板着脸/拉长着脸,pull a long face/to look angry/unhappy,Colloquial,
L444,黑口黑面,hak1 hau2 hak1 min6,0,脸色难看/黑脸/脸很臭/臭着脸/不高兴/板着脸/拉长着脸,pull a long face/to look angry/unhappy,Colloquial,
L445,賤格,zin6 gaak3,0,缺德/卑鄙/贱,despicable/contemptible/vile/mean/cheap/cheap person,Colloquial,curse
L446,衰格,seoi1 gaak3,0,缺德/卑鄙/贱,despicable/contemptible/vile/mean/cheap/cheap person,Colloquial,curse
L447,衰衰格格,seoi1 seoi1 gaak3 gaak3,0,缺德/卑鄙/贱,despicable/contemptible/vile/mean/cheap/cheap person,Colloquial,curse
L448,賤賤格格,zin6 zin6 gaak3 gaak3,0,缺德/卑鄙/贱,despicable/contemptible/vile/mean/cheap/cheap person,Colloquial,curse
L449,賤內,zin6 noi6,0,妻子,my wife/wife/bitch,Slang,curse
L450,賤,zin6,0,缺德/卑鄙/贱,despicable/contemptible/vile/mean/cheap/cheap person,Colloquial,curse
L451,賤閪,zin6 hai1,1,贱女人/婊子/臭婊子,fucking cunt/cunt/bitch/cheap person,Colloquial,curse
L452,賤格佬,zin6 gaak3 lou2,0,臭男人/贱人/贱男人/贱男,scumbag/cheap man/cheap person,Colloquial,curse
L453,賤人,zin6 jan4,0,贱人,scumbag/cheap person,Colloquial,curse
L454,側側膊 ,zak1 zak1 bok3,0,推卸责任/蒙混过关/得过且过/偷懒,shirking responsibility,Colloquial,
L455,推卸責任,teoi1 se3 zaak3 jam6,0,推卸责任/蒙混过关/得过且过/偷懒,shirking responsibility,Colloquial,
L456,搏懵,bok3 mung2,0,占便宜/浑水摸鱼/调戏妇女/性骚扰/剥削/推卸责任/蒙混过关/得过且过/偷懒,shirking responsibility/scrounge/to make use of/to exploit/make use of/Harassing women/sexual harassment,Slang,
L457,得過且過,dak1 gwo3 ce2 gwo3,0,推卸责任/蒙混过关/得过且过/偷懒,shirking responsibility,Colloquial,
L458,壽頭,sau6 tau4,0,蠢人/低能者/韭菜本尊/韭菜/傻子,blockhead/nitwit/fool/diot/silly person/a moron/moron/a nitwit,Colloquial,curse
L459,蠢材,ceon2 coi4,0,蠢人/低能者/韭菜本尊/韭菜/傻子,blockhead/nitwit/fool/diot/silly person/a moron/moron/a nitwit/idiot/silly,Colloquial,curse
L460,低能仔,dai1 nang4 zai2,0,蠢人/低能者/韭菜本尊/韭菜/傻子,a big sweet potato/a clumsy idiot/dumb/stupid/literally 'pig-brained'/a dupe/a patsy/an easy mark/a chump/kid/kiddo/blockhead/nitwit/fool/diot/silly person/a moron/a nitwit/idiot/retarded/ idiotic,Colloquial,curse
L461,大番薯,daai6 faan1 syu2,0,蠢人/低能者/韭菜本尊/韭菜/傻子/笨蛋/蠢货,a big sweet potato/a clumsy idiot/dumb/stupid/literally 'pig-brained'/a dupe/a patsy/an easy mark/a chump/kid/kiddo/blockhead/nitwit/fool/diot/silly person/a moron/a nitwit/idiot/retarded/idiotic/stupid person/a fool/an idiot/fool/a stupid person,Slang,curse
L462,人頭豬腦,jan4 tau4 zyu1 nou5,0,蠢人/低能者/韭菜本尊/韭菜/傻子,a big sweet potato/a clumsy idiot/dumb/stupid/literally 'pig-brained'/a dupe/a patsy/an easy mark/a chump/kid/kiddo/blockhead/nitwit/fool/diot/silly person/a moron/a nitwit/idiot/retarded/ idiotic,Slang,curse
L463,烚熟狗頭,saap6 suk6 gau2 tau4,0,蠢人/低能者/韭菜本尊/韭菜/傻子,a big sweet potato/a clumsy idiot/dumb/stupid/literally 'pig-brained'/a dupe/a patsy/an easy mark/a chump/kid/kiddo/blockhead/nitwit/fool/diot/silly person/a moron/a nitwit/idiot/retarded/ idiotic,Colloquial,curse
L464,水鱼,seoi2 jyu2,0,蠢人/低能者/韭菜本尊/韭菜/傻子,a dupe/a patsy/an easy mark/a chump/kid/kiddo/blockhead/nitwit/fool/diot/silly person/a moron/a nitwit/idiot/retarded,Slang,curse
L465,傻仔,so4 zi2,0,蠢人/低能者/韭菜本尊/韭菜/傻子,kid/kiddo/blockhead/nitwit/fool/diot/silly person/a moron/a nitwit/idiot/retarded/silly,Colloquial,curse
L466,弱智,joek6 zi3,0,蠢人/低能者/韭菜本尊/韭菜/傻子/弱智,blockhead/nitwit/fool/diot/silly person/a moron/a nitwit/idiot/retarded/silly,Colloquial,curse
L467,跟住落嚟,gan1 zyu6 lok6 lai4,0,接下来,next,Colloquial,curse
L468,傻閪,so4 hai1,1,傻叼/愚蠢的人/sb/傻瓜/沙雕/傻叉/神经病,idiot/Stupid/tosser/fucking idiot/dumbass/asshole/asshole/piece of shit/stupid cunt/dumb cunt/twat/wanker/dickhead,Colloquial,curse
L469,傻仔,so4 zai2,0,傻叼/愚蠢的人/sb/傻瓜/沙雕/傻叉/神经病,idiot/Stupid/tosser/fucking idiot/dumbass/asshole/asshole/piece of shit/stupid cunt/dumb cunt/twat/wanker/dickhead/silly,Colloquial,curse
L470,撲街仔,puk1 gaai1 zai2,0,死小子/孙子/臭小子/混蛋/王八蛋/反贼/反骨/讨厌的人/叛徒/白眼狼/忘恩负义/因将仇报,Bastard/Asshole/shithead/traitor/betrayer,Colloquial,curse
L471,傻佬,so4 lou2,0,傻叼/愚蠢的人/sb/傻瓜/沙雕/傻叉/神经病,idiot/Stupid/tosser/fucking idiot/dumbass/asshole/asshole/piece of shit/stupid cunt/dumb cunt/twat/wanker/dickhead,Colloquial,curse
L472,蒸生瓜,zing1 saang1 gwaa1,0,傻叼/愚蠢的人/sb/傻瓜/沙雕/傻叉/神经病,idiot/Stupid/tosser/fucking idiot/dumbass/asshole/asshole/piece of shit/stupid cunt/dumb cunt/twat/wanker/dickhead,Colloquial,curse
L473,傻傻閪閪,so4 so4 hai1 hai1,1,傻叼/愚蠢的人/sb/傻瓜/沙雕/傻叉/神经病,idiot/Stupid/tosser/fucking idiot/dumbass/asshole/asshole/piece of shit/stupid cunt/dumb cunt/twat/wanker/dickhead,Colloquial,curse
L474,傻鳩,so4 gau1,1,傻叼/愚蠢的人/sb/傻瓜/沙雕/傻叉/神经病,idiot/Stupid/tosser/fucking idiot/dumbass/asshole/asshole/piece of shit/stupid cunt/dumb cunt/twat/wanker/dickhead/silly,Colloquial,curse
L475,老襯,lou5 can3,0,容易上当受骗的人/冤大头/割韭菜/韭菜/替罪羊/替罪羔羊,milking me dry/fleecing us/a patsy/a chump/soft shell turtle ,Slang,curse
L476,俾人揾笨,bei2 jan4 wan2 ban6,0,容易上当受骗的人/冤大头/割韭菜/韭菜/替罪羊/替罪羔羊/被忽悠,milking me dry/fleecing us/a patsy/a chump/soft shell turtle ,Colloquial,curse
L477,契爷,kai3 je4,0,容易上当受骗的人/冤大头/割韭菜/韭菜/替罪羊/替罪羔羊,milking me dry/fleecing us/a patsy/a chump/soft shell turtle ,Colloquial,curse
L478,揾笨,wan2 ban6,0,容易上当受骗的人/冤大头/割韭菜/韭菜/替罪羊/替罪羔羊/骗/欺骗/忽悠,milking me dry/fleecing us/a chump/soft shell turtle /cheat/to cheat/to trick/trick/deceive/lie/cheat/to swindle/chouse,Colloquial,curse
