id,zhh,zhh_pron,alias_zhh,alias_zhh_r18,chs,en,note_chs,note_en,variants_chs,variants_en,owner_tag,sig_code
L63,傻閪,so4 hai1,傻仔；傻佬；撲街仔；蒸生瓜；傻傻閪閪；傻鳩,,傻叼/愚蠢的人/sb/傻瓜/沙雕/傻叉/神经病,idiot/Stupid/tosser/fucking idiot/dumbass/asshole/asshole/piece of shit/stupid cunt/dumb cunt/twat/wanker/dickhead,形容词：通常用来骂女人的粗口、恶意辱骂；第二個字代表女性生殖器，这個詞可以不单单指对方有智力缺陷，也可以是对方面行为強烈不滿，但现在不单单指女性,"adj: Usually used to insult women with vulgar language and malicious abuse; the second word represents female genitalia. This term can refer not only to intellectual disability but also to strong dissatisfaction with someone's behavior, but nowadays it is not limited to women.",用法：骂人用的，愚蠢的人，​有藐视的意思​，甚至可以表达憎恨，厌恶，由于粗俗、污辱和帶有攻击性的含义，多数用于言语的侵犯和攻击,"usage: The word ""foolish"" carries connotations of contempt and can even express hatred and disgust. Due to its vulgarity, insult, and aggressive nature, it is mostly used in verbal attacks and assaults.",CanTong Lexicon 2025,63
L64,水鱼,seoi2 jyu2,老襯；俾人揾笨；契爷；壽頭；揾笨；揾笨柒；撚​樣；戆撚,,容易上当受骗的人/冤大头/割韭菜/韭菜/替罪羊/替罪羔羊,milking me dry/fleecing us/a patsy/a chump/soft shell turtle ,形容词：形容鳖有钱的傻瓜，容易上当受骗，轻易相信别人,adj: Describing a rich fool as someone easily deceived and readily trusting others.,用法：形容不醒目的人经常给人宰割,usage: Describing someone who is not perceptive and is often taken advantage of.,CanTong Lexicon 2025,64
L65,傻到閪噉,so4 dou2 hai1 gam2,傻到冇朋友；傻到笑；傻度驚；傻撚到哩,,笨到极致/傻到一个点/沙雕/傻叉,boneheaded ,形容词：不是一般的傻,"adj: Boneheaded,Not just stupid",用法：骂人用的，形容对方已经超越了人类对傻的理解,usage: To describe someone as having transcended human understanding of stupidity.,CanTong Lexicon 2025,65
L66,戇鳩,ngong6 gau1,戇直；戇居；戇居居；傻更更；傻傻更更；戇戇居居；傻傻地；懵盛盛；木契；柒下柒下；柒柒下,,呆萌/傻乎乎/呆呆的/沙雕/傻叉/傻里傻气,dunce/Stupid dick/dumbass/stupid/on9/dumb,形容词：不该硬的时候硬，浪费精力；形容不应该出风头的偏要说自己多牛逼,adj: Being assertive when you shouldn't is a waste of energy; it describes someone who insists on showing off when they shouldn't.,用法：骂人用的，评论人的一种状态，别人在局外人评价当事人行为,"usage: A state of mind for commentators，Others, as outsiders, evaluate the behavior of the parties involved.",CanTong Lexicon 2025,66
L67,懵撚,mung2 lan2,碌葛；懵炳；腦入水；反应迟钝；一嚿雲；一碌木；慢半拍；木嘴；薯头；薯仔；低低哋；傻傻哋；懵仔；番薯；霎憨,,呆瓜/糊里糊涂/反应迟钝/慢半拍/傻里傻气,One step behind/half a bit slower/obtuse/stupid cock,形容词：（俗語）用来形容人又笨又迟钝，同時带有粗俗的意味,"adj: (proverb) It is used to describe someone as stupid and slow-witted, and also carries a vulgar connotation.",用法：骂人用的，反应慢，描述一个人脑子转的慢可用,"usage: an insult, to describe someone as slow-witted or having a slow mind.",CanTong Lexicon 2025,67
L68,黐線,ci1 sin6,发神經；白痴；黐筋；黐孖筋；忽忽哋；腎腎哋；弱智；有病；癫；shortshort地,,神经病/发神经/白痴/弱智/有病,tool/mad/ridiculous/moron/crazy/insane/short,形容词：最初指电话线路因短路（电线纠缠在一起）而失灵的現象，后來引申为形容人言行异常、神经失常或荒谬,"adj: Originally referring to a telephone line malfunctioning due to a short circuit (the wires getting tangled), it later came to describe someone's abnormal behavior, mental instability, or absurdity.",用法：形容人说话或行为或事件怪异、不正常，帶有调侃或指责的意味,"usage: describe someone's speech, behavior, or events as strange or abnormal, often with a sarcastic or accusatory tone.",CanTong Lexicon 2025,68
L69,死蠢,sei2 ceon2,蠢材；大番薯；人頭豬腦；豬頭炳；茂利；笨柒；笨撚柒；柒頭；磨碌,,笨蛋/蠢货,dumb/imbecile,形容词：（俗語）极度愚蠢或迟钝,adj: (proverb) Extremely stupid or slow-witted,用法：责备或斥责,usage:  blame or reprimand,CanTong Lexicon 2025,69
L70,撲街仔,bok1 gaai1 zai2,反骨仔；二五仔；茂利；撲街；柒頭；柒頭皮；柒柒哋；撚樣；粉腸；攔坦,,死小子/孙子/臭小子/混蛋/王八蛋/反贼/反骨/讨厌的人,Bastard/Asshole/shithead,名词：（俗語）指摔倒在街上、死在路边无人收尸，常用于骂人，指明男性,"n: (proverb) Refers to someone falling down in the street and dying on the roadside, with no one to claim their body, often used as an insult, specifically referring to a male.",它的意思已经非常多样，可以表示倒霉、糟糕、失败，也可以用于自嘲，特指某人的称呼,"usage: Its meaning has become quite diverse, it can mean unlucky, terrible, or a failure, and it can also be used self-deprecatingly, specifically referring to someone.",CanTong Lexicon 2025,70
L71,撲街,bok1 gaai1 ,食屎；死你就去；大镬；趁地淋；仆街；屌閪喇,,去死吧/吃屎去/跌倒,Go to hell,形容词：（俗語）形容人或者事很糟糕， 动词：辱骂别人，叫人去死,"adj: (proverb) Describes a person or thing as terrible,    V: to insult someone, to tell someone to die.",用法：用于骂人，同时也可以形容事情的严重性,"usage: It is generally used as an insult, but it can also be used to describe the seriousness of a situation.",CanTong Lexicon 2025,71
L72,笨柒,ban6 cat1,龜缩；嘥料；柒轱辘,,浪费机会/蠢货/错失良机,dickhead/miss the boat/stupid/stupid prick,形容词：该硬的时候不硬，浪费机会；形容应该出风头时不出来,"adj: Failing to stand up when you should has wasted an opportunity, describes someone who doesn't step up when they should be in the limelight.",用法：评论人的一种状态，别人在局外人评价当事人行为,"usage: A state of mind for commentators，Others, as outsiders, evaluate the behavior of the parties involved.",CanTong Lexicon 2025,72
L73,乞人憎,haak1 jan4 zang1,非洲和尚；神憎鬼厌,,讨人厌/讨厌鬼/神憎鬼厌,jerk/disgusting,形容词：令人厌恶或憎恨的，令人作呕的，可怕的，糟糕的，令人愤慨的，字面意思：乞求人们憎恨,"adj: Loathed or hated by others; disgusting, terrible,awful, outrageous, literally: to beg people hate",用法：指某人或某事非常令人讨厌或惹人厌烦。,usage: It means that someone or something is very annoying or irritating.,CanTong Lexicon 2025,73
L74,樣衰,joeng2 seoi1,出丑；好瘀；肉酸；核突,,小丑/出洋相/难为情/丑/丑八怪/讨厌/愚蠢,clown/bad looking/bad face/ugly face/ugly/,形容词：表面意思是形容长得丑的人，可以形容事件出糗后，当事人的状态,"adj: Literally, it describes someone who is ugly, but it can also describe the state of mind of someone who has embarrassed themselves in an embarrassing situation.",用法：当进行事件最终失败时可以用，形容倒霉，同时也形容相貌,"usage: It can be used to describe bad luck when an event ultimately fails, and it can also describe an appearance.",CanTong Lexicon 2025,74
L75,垃圾,laap6 saap3,廢​物；冇用；廢柴,,失败者/废人/废物,Loser/garbage/rubbish/trash/junk,形容词：字面意思是没用的东西，同样可以形容人，一事无成,"adj: Literally means useless, and can also describe a person who is incompetent.",用法：用来骂人算是最大的侮辱,usage: Using it to insult someone is the greatest insult.,CanTong Lexicon 2025,75
L76,收爹,sau1 de1,收皮；收声,,闭嘴/住口,Shut up/shut your mouth,动词：意思是“闭嘴”或“别说话”,"v: Meaning ""to shut up"" or ""to stop talking"".",通常带有不满或轻视的语气，要求对方住嘴。,"usage: It usually carries a tone of dissatisfaction or contempt, demanding that the other party shut up.",CanTong Lexicon 2025,76
L77,屌你,diu2 nei5 ,屌柒你；屌鳩你,,去你的/操你,fuck you,动词：意思是想和你激烈性交，常用的低俗脏话,v: Meaning to want to have intense sexual intercourse with you; commonly used vulgar and obscene language.,用法：可以用来回应心中不想不忿，在你被人坑的时候，表达愤怒,"usage: It can be used to respond to feelings of resentment or anger, and to express anger when you've been cheated.",CanTong Lexicon 2025,77
L78,屌你老母,diu2 nei5 lou5 mou2,問候你娘親；屌你老味；屌那星；屌你鹵味；屌那妈,,草泥马/操你妈,fuck your mum,"动词：常见的“DLLM"",常用的脏话","v: Common ""DLLM"", frequently used swear word",用法：骂人，比较有攻擊性，类似于问候祖宗,"usage: It's used as an insult, and is quite offensive, similar to cursing someone's ancestors.",CanTong Lexicon 2025,78
L79,屌佢老母,diu2 keoi5 lou5 mou2,問候佢娘親；屌佢老味；屌那星；屌佢鹵味,,操他妈/操她妈,fuck her mum/fuck him mum,"动词：常见的“DLLM"",常用的脏话，只是换成第三人称","v: The common ""DLLM"", a frequently used swear word, just in the third person.",用法：骂人，比较有攻擊性，类似于问候祖宗,"usage: It's used as an insult, and is quite offensive, similar to cursing someone's ancestors.",CanTong Lexicon 2025,79
L80,屌到反艇,diu2 dou3 faan2 teng5,屌到你反艇；屌到你叫救命,,操到你爽,Fuck you until you're satisfied/intense sexual intercourse,形容词：激烈​地​性交，欲罢不能,adj: Intense sexual intercourse,用法：低俗的说法，形容我不会放过你,usage: A vulgar way of saying I won't let you go.,CanTong Lexicon 2025,80
L81,你真系搞笑,nei5 zan1 hai6 gaau2 siu3,你真系好好笑；你真系笑撚死我,,你就是个笑话,You're a joke,形容词：正要取笑人，怀疑对方智商,"adj: About to make fun of someone, doubting their intelligence",用法：正要反驳前的口头禅,usage: Common phrases before rebuttal,CanTong Lexicon 2025,81
L82,老閪,lou5 hai1,寸；串；招积；得戚；不可一世；鳩屎；得敕,,拽/得瑟/不管怎么样/嘚瑟,old cunt/old pussy/No matter what,形容词：形容一个人拽，没家教,adj: Describes someone as arrogant and ill-mannered.,用法：比喻​人嚣​张​，​好胜​，​喜欢争​第一​、​炫耀，有时候可以用于“怎么样都要”,"usage: This metaphor describes someone who is arrogant, competitive, and likes to be number one or show off. Sometimes it can be used to describe someone who ""wants to do whatever they want.""",CanTong Lexicon 2025,82
L83,俾人劏,bei2 jan4 tong1,劏死牛；食人唔𦧲骨；劏白鸽,,被人宰/割韭菜,Being ripped off,形容词：指拦路抢劫，打劫，被人强抢东西，又或者是被人割韭菜,"adj: Refers to highway robbery, being robbed, having one's belongings forcibly taken, or being exploited or taken advantage of.",用法：在毫无还手情况下，任由敌人宰割,"usage: Without any chance to fight back, they were at the mercy of the enemy.",CanTong Lexicon 2025,83
L84,老笠,lou5 lap1,打劫​；​搶​嘢；趁火打劫；𢱕冰,,打劫/抢劫,to rob,动词：（俗語）抢夺财物，指使用暴力或威胁等手段非法夺取他人财物的犯罪行为,v: (proverb) Robbery refers to the criminal act of illegally seizing another person's property by means of violence or threats.,用法：对他人财产权和人身安全的严重侵害，与盗窃不同的是，它通常包含暴力或威胁成分,"usage: A serious infringement upon another person's property rights and personal safety, unlike theft, usually involves violence or threats.",CanTong Lexicon 2025,84
L85,契爷,kai3 je4,義父；老契,,干爹/义父,godfather/ sugar dadd,名词：字面意思是干爹，现代被理解为有包养的成分,"n: Literally meaning ""godfather,"" but in modern usage it's understood to imply a form of financial support or being kept by a sugar daddy/sugar baby.",用法：指有钱男人包养一个或者多个女生或男生,usage: This generally refers to a wealthy man keeping one or more women or men as mistresses.,CanTong Lexicon 2025,85
L86,閪晒,hai1 saai3,奇啦；撲街；屌閪喇；碌柒；含撚；屌啊,,完了/该死的,Damn it,形容词：出大事了，粗俗特指严重性,"adj: Something serious has happened; vulgar, specifically indicating its severity.",用法：遇到大麻烦的时候感叹的时候,usage: When encountering big trouble and sighing,CanTong Lexicon 2025,86
L87,鳩噏,kau1 ap1,鳩噏当秘笈；鳩噏柒喷,,胡说/吹牛逼,bragging,形容词：谁便说说，说得好像是真的,adj: To say something as if it were true.,用法：形容在说废话,usage: Generally used to describe talking nonsense,CanTong Lexicon 2025,87
L88,醜樣,cau2 joeng2,樣衰；肉酸；難睇；唔順眼；樣鳩衰,,丑陋/丑八怪,Ugly,形容词：外貌不讨好、不吸引,"adj: Unappealing appearance, not attractive",用法：不好看，过不了自己的审美标准,"usage: It's not good-looking, it doesn't meet my own aesthetic standards.",CanTong Lexicon 2025,88
L89,核突,wat6 dat6,鶻突；肉鳩酸,,恶心,nausea,形容词：去到恶心的地步已经不单单是丑了,adj: It's reached such a disgusting level that it goes beyond just being ugly.,用法：看完后让人作呕发闷，反胃的生理状况,usage: It made me feel nauseous and suffocated.,CanTong Lexicon 2025,89
L90,烚熟狗頭,sab³ sug⁶ geo² teo⁴,烚下烚下；四万咁口,,傻笑的样子,silly grin,形容词：（俗语）形容人龇牙咧嘴笑的样子，又会指人笑得傻里傻气，傻笑，傻呼呼的,"adj: (proverb)It describes a person's wide, grinning smile, but can also imply that the smile looks silly, foolish, or goofy.",用法：一个人笑得很假，皮笑肉不笑，一副阿谀奉承的样子，,"usage: A person's smile is fake, a forced smile, and has an obsequious look.",CanTong Lexicon 2025,90
L91,認頭,jing6 tau4,認數；認領；認帳；一人做事一人當,,承认关系/认了,admit/own up to it/recognizethe/confess,动词：指不情愿地承认一些不好的事情,v: Refers to reluctantly admitting to something bad.,用法：承认或者接受的情况可用,usage: The circumstances under which recognition or acceptance is made are available.,CanTong Lexicon 2025,91
L92,認低威 ,jing6 dai1 wai1,認輸,,服输/甘拜下风,Admit defeat/Accept defeat,动词：坦率地承认错误或失败,v: To admit a mistake or defeat candidly,用法：承认自己处于下风而低声下气,usage: to lower one's ego; to admit inferiority,CanTong Lexicon 2025,92
L93,過山峰,gwo3 saan1 fung1,王蛇,,眼镜王蛇,King Cobra,名词：中华眼镜蛇​，​毒性強​，​​头部与颈部形狀​像飯饭勺​，​因而​得名,n: King Cobra,分布在东南亚及菲律宾和印度尼西亚的森林中,"usage: Distributed in the forests of Southeast Asia, the Philippines, and Indonesia.",CanTong Lexicon 2025,93
L94,飯鏟頭,faan6 caan2 tau4,眼睛蛇,,中华眼镜蛇,chinese cobra,名词：中华眼镜蛇​，​毒性強​，​​头部与颈部形狀​像飯饭勺​，​因而​得名,n: Chinese cobra,是眼鏡蛇科的一種，主要分布于中國南方及周边几个国家和地区。它是中国最常见的毒蛇之一,"usage: It is a species of cobra, mainly distributed in southern China and several surrounding countries and regions. It is one of the most common venomous snakes in China.",CanTong Lexicon 2025,94
L95,騎咧怪,ke4 le4 gwaai2,騎呢 （旖旎）；古怪；騎呢古怪；怪鸡；樣衰衰；樣樣衰衰；騎呢怪；卡啦蘇；騎呢蘇,,奇怪的人/奇葩/怪人/另类,weirdo/alternative,名词：（俗語）有一种青蛙叫“骑篱蝈”，这种娃外表十分奇怪叫成“騎呢怪”特指性格​、​行为古怪又不正常的人​,"n: (proverb) There's a type of frog called the ""fence-riding cricket,"" and a child with a very strange appearance is called a ""riding monster,"" specifically referring to someone with an odd or abnormal personality and behavior.",用法：形容性格也可以形容外表也可以形容姿态,"usage: It can describe personality, appearance, or posture.",CanTong Lexicon 2025,95
L96,騎呢 ,ke4 le4,無厘頭；九唔搭八 ；𠵇𠺫,,抽象/荒谬,absurdly,名词：（俗語）“騎呢怪”的简称，特指性格​、​行为古怪又不正常的人​,"n: (proverb) Short for ""eccentric,"" specifically referring to a person with an odd or abnormal personality and behavior.",用法：形容性格也可以形容外表也可以形容姿态等于抽象的意思,"usage: It can describe personality, appearance, or posture; it's essentially an abstract concept.",CanTong Lexicon 2025,96
L97,企理,kei5 lei5,乾淨；整齊；乾淨企理,,得体/端正/整齐,tidy/neat/Clean,形容词：期初是英文“clean”的译音，表示整洁，井井有条,adj: Describes an environment as clean and tidy; it can also describe someone as organized or a person as clean and tidy.,用法：1，形容环境整洁，干净整齐。 2，可以形容做事有条理。 3，也可以形容人干净整洁,usage: 1. Describes a clean and tidy environment.  2. Can describe someone who is organized and methodical in their work.  3. Can also describe a person who is clean and tidy.,CanTong Lexicon 2025,97
L98,奇啦,kei4 laa1,奇怪；出奇；屌啊,,奇怪/意料之外,odd/strange,形容词：出乎意料的第一个反应,adj: An unexpected first reaction,用法：当记错东西，明明放在这不见了可以用,"usage: When you misremember something, or if you clearly put it here but can't find it, you can use it.",CanTong Lexicon 2025,98
L99,撈絞,laau2 gaau4,逦迤；唔​整齊；亂；摎攪（澩嫪）；冇​條理；麻烦；立立亂（厯厯亂）；泶嫪,,复杂难搞/混乱,disorderly/chaotic,形容词：（俗語）形容情境或事物杂乱、乱七八糟的意思,adj: (proverb) Describing a situation or situation as messy or chaotic,用法：做事没有条理，乱来的可用，形容穿搭不整齐不整洁可用，形容糟糕的情况也可以用,"usage: It can be used to describe someone who is disorganized and haphazard in their work, to describe someone who is dressed sloppily and untidy, or to describe a terrible situation.",CanTong Lexicon 2025,99
L100,逦迤,le2 he5,摎攪；哩hea；冇釐搭霎,,狼狈,disheveled,形容词：（俗語）办事狼狈，有头无尾，为人不修边幅。,"adj: (proverb) Disorganized, indecisive, and unkempt.","用法：处境艰难可用，表现得十分糟糕可用，表现十分狼狈可用，
无赖（贬义）可用","usage: describe a difficult situation, poor performance, or embarrassing behavior. Also used to describe someone who is a scoundrel (in a negative sense).",CanTong Lexicon 2025,100
L101,冇釐搭霎,mou5 lei4 daap3 saap3,冇搭霎（冇傝𠎷）；冇嚟搭霎（冇厘搭霎）；兒戲；粗心大意；求其,,不负责任/粗心大意/无离搭,irresponsible/careless,形容词：把人转介出去是缺乏责任感的表现。,adj: To refer somebody is lack of a sense of responsibility,用法：形容做事有头无尾可用，形容粗心大意的人，经常忘东忘西的人,usage: This describes someone who starts something but doesn't finish it; it describes a careless person who often forgets things.,CanTong Lexicon 2025,101
L102,好麻煩,hou2 maa4 faan4,真撈絞；麻鳩煩；好撚煩；麻撚煩；煩到閪噉,,真麻烦,so troublesome,形容词：“真的令人费心”或“真的增添了负担”，通常用于表示对某件事的复杂、困难感到不便或厌烦,"adj: ""Really troublesome"" or ""really a burden"" is usually used to express inconvenience or annoyance at the complexity or difficulty of something.","用法：1，形容词: ""真麻烦"" 描述某事或某情况令人费事、繁琐，难以应付。 2，动词: ""麻烦"" 可以表示打扰或使人费事。","usage: 1. adj: ""Troublesome"" describes something or a situation that is troublesome, tedious, and difficult to handle.  2. v: ""Troublesome"" can mean to bother or cause trouble.",CanTong Lexicon 2025,102
L103,烏哩單刀 ,wu1 li1 daan1 dou1,亂​七八​糟；立立亂（厯厯亂）；亂嗮龍；七國咁亂；一镬粥；倒瀉籮蟹；乌哩妈叉；鳩之孖碌,,乱七八糟/乱糟糟/一塌糊涂,messy,形容词：（俗语）用来形容一个人办事糊里糊涂、含混不清。,adj: (proverb) It is used to describe someone who is muddle-headed and unclear in their work.,用法：形容办事不靠谱，当有人在处理事务时显得笨手笨脚，或者把事情搞砸，可用。,"usage: This phrase describes someone who is unreliable or clumsy in handling affairs, or who messes things up.",CanTong Lexicon 2025,103
L104,一鑊粥,jat1 wok6 zuk1,一鑊泡；大劑；大鑊；一pat屎；成pat屎；成噼屎,,出大事了/搞砸了/一团糟,make a mess of,形容词：（俗语）事态​棘手​、​严重​、​麻烦​，也可以说​地方​污糟​、​混乱,"adj: (proverb) Mess, intractable and chaos,unmanageable situation, literally,one wok of congee",用法：形容事情搞得一团糟,usage: describe something being made a complete mess,CanTong Lexicon 2025,104
L105,姐手姐腳,ze2 sau2 ze2 goek3,手腳慢​；烏哩單刀；論盡；阻手阻腳,,畏手畏脚/笨手笨脚,Hesitant and timid,形容词：做粗重东西的时候没力、手脚慢、经常出错,"adj: Slow, clumsy, feeble, literally 'woman's hands woman's feet'",用法：形容做事慢，影响效率,usage: describe someone who works slowly and is inefficient.,CanTong Lexicon 2025,105
L106,佗手掕腳,to4 sau2 lang3 goek3,陀手掕腳；負累；佗手褦脚,,拖累阻碍/帮不上忙/碍手碍脚,to be a burden /it can‘t be helped,形容词：指人，行动不便，形容人帮不上忙，成为负累,adj: Of a person，clumsy and being a burden to others,用法：形容没有任何帮助，影响到其他人的进度,usage: describe something that is not helpful and hinders the progress of others.,CanTong Lexicon 2025,106
L107,冇心裝載,mou5 sam1 zong1 zoi3,唔​上心​；​唔​在意,,疏忽/心不在焉,negligent/not caring,形容词：意味着不太注意或者在做某事上不太用心，不把别人的话或者事情放在心上,"adj: To refer somebody does not pay much attention, or give much effort into doing something","用法：不重视并忘记别人的话语或建议,字面上来说，就是没有心思承担重任。","usage: not paying attention to and being forgetful about someone's words or advice; literally, no heart to carry loads",CanTong Lexicon 2025,107
L108,冇心嘅,mou5 sam1 ge3,唔係有心嘅,,无意的/不是故意,inadvertent,动词：做了​一件事​而​事前​没有​意图,"v: to not mean to,to be unintentional",用法：表示不是故意的,usage: It indicates that it was not intentional.,CanTong Lexicon 2025,108
L109,唔知道,m4 zi1 dou6,唔知；鬼知；知鬼,,不知道,no idea/i don't know,用来表示对某件事物的不了解或不确定,I don't know,用法：表示不确定不知道,usage: Indicates uncertainty or not knowing.,CanTong Lexicon 2025,109
L110,呃人,ngaak1 jan4,搵笨；水人；老點人；昆人,,骗人,telling a lie,动词：对某人说谎（口语），进行欺骗行为,"v: To lie to someone (in spoken language), to deceive.",用法：表示骗人，能为自己谋取利益去害人的行为,usage: This refers to deceiving others or harming others for personal gain.,CanTong Lexicon 2025,110
L111,搵笨,wan2 ban6,攞著數；呃人；佔便宜；剾草；打斧頭；利用；抽水；搵笨柒,,占便宜/利用,to con/take advantage of,动词：取得​好处​、​利益​，​通常​含​贬义,"v: To gain benefits or advantages, usually with a negative connotation.",用法：从某种情况中获利,usage: to gain benefits from a situation ,CanTong Lexicon 2025,111
L112,巽寮湾,Seon3 liu4 Waan1,信辽湾,,巽寮湾,Xunliao Bay,地域名：位于广东省惠州市惠东县；巽代表风予以平安吉祥,"region name: Located in Huidong County, Huizhou City, Guangdong Province; Xun represents wind, bringing peace and good fortune.",用法：古时候苏东坡到了叫鸭寮的地方，而这里的地形像八卦，鸭寮就在八卦之上，而这里经常有微风吹就改名为巽寮湾,"usage: In ancient times, Su Dongpo arrived at a place called Ya Liao, whose terrain resembled a Bagua (Eight Trigrams). Ya Liao was situated on top of the Bagua, and because a gentle breeze often blew through the area, it was renamed Xunliao Bay.",CanTong Lexicon 2025,112
L113,檔攤,dong3 taan1,摆檔,,临时摆摊/摊位,stall,名词：有商业许可的快闪店,v: Pop-up stores with commercial licenses,用法：一般形容不需担心会被驱赶，有合作的短时间合法经营,"usage: This generally describes a situation where there's no need to worry about being evicted, and there's a short-term, legal business arrangement with partners.",CanTong Lexicon 2025,113
L114,掟啲嘢過去,deng3 di1 je5 gwo3 heoi3,,,扔一些东西过去/投一些东西过去/掷一些东西过去,Throw something over/toss something over,动词：有指定方向，有目标地扔东西过去，,v: to throw something in a designated direction or with a specific goal.,用法：只要有目标方向投，扔，掷的动作可以用这个“掟”,"usage: The action of throwing, tossing, or juggling can be described using the character ""掟"" as long as there is a target direction.",CanTong Lexicon 2025,114
L115,輘輷,ging2 gwang2,景轟；蹊跷 ；奇怪；有輘輷；唔妥；有古怪,,蹊跷/不可告人/古怪/奇怪/有状况/有情况,fishy/Unspeakable/weird,形容词：有不可告人的秘密，通常指某件事情不寻常、不方便公开。 ,"adj: having a secret, usually referring to something unusual or inconvenient to disclose.",用法：表示有内情，不可告人，奇怪不寻常,"usage: This indicates that there is something going on, something that cannot be told, something strange and unusual.",CanTong Lexicon 2025,115
L116,咬耳仔,ngaau5 ji5 zai2,細細聲講；細聲講；密密斟；倾八卦,,说悄悄话/窃窃细语,to whisper,动词：偷偷地交谈，悄悄地向某人耳语，字面意思是咬耳朵,"v: to talk secretly, to whisper to someone in a secretive way, literally, to bite ears","用法：形容在讲秘密，聊八卦的行为，指背着人低声讲（可能令人感觉古怪/讲闲话）。","usage: Describes the act of telling secrets or gossiping, referring to speaking in a low voice behind someone's back (which may seem strange/gossipy).",CanTong Lexicon 2025,116
L117,誓神劈願,sai6 san4 pek3 jyun6,斬釘截鐵；實牙實齒；言之鑿鑿；一言九鼎,,斩钉截铁,to swear a solemn oath,（俗语）坚定地、坚决地主张或强调；字面意思：向神发誓并作出承诺,(proverb) to be determined and to claim or stress firmly; literally: to swear to a god and make a pledge,用法：当表示非常坚决、绝对、不容置疑的决心或承诺，即发誓向上天发愿，发下重誓，保证某事一定会做到，绝不食言的情况或描述可用,"usage: It can be used to express a very firm, absolute, and unquestionable determination or commitment, that is, to swear an oath or make a solemn vow, guaranteeing that something will definitely be done and that one will never break one's promise.",CanTong Lexicon 2025,117
L118,甩碌,lat7 luk7,撻Q；甩漏 ；甩轆；大頭蝦；大意；放飛機,,掉链子/出错/临阵退缩/打退堂鼓/放鸽子,drop the ball /dropped the chain/mess it up/mess it up/choke now/don`t bail on me/Don't back out now/Don't leave me hanging/Don't let me down,动词：源于车的轮胎突然脱落，延伸到事物突然出问题、失控或形容人超级忙碌到“失控”的程度，,"v: Originating from the image of a car tire suddenly coming off, it extends to describe something suddenly going wrong, getting out of control, or someone being so busy that they are ""out of control.""",用法：形容电脑当机、计划出错、事情搞砸了等情况，可以用于放鸽子，临阵退缩，打退堂鼓，还可以是反应慢，不在状态，“失控、掉走、走样、状况不好”等比喻义,"usage: It is often used to describe situations such as a computer crashing, a plan going wrong, or something going wrong. It can also mean standing someone up, backing out at the last minute, or giving up. It can also mean being slow to react, out of sorts, or in a bad state.",CanTong Lexicon 2025,118
L119,飛紙仔,feil dzi2 dzai2,递紙仔,,传纸条,Passing notes,动词：是香港电影行业术语，指演员在拍摄现场临时获取当天剧本的创作方式，编剧群体亦被称作该名称,"v: This is a Hong Kong film industry term referring to the practice of actors receiving the script on set and creating their own scripts. The screenwriting community is also referred to by this name.",用法：临时写的纸条，引申为临时安排、突发任务、临时修改,"usage: A hastily written note, implying a temporary arrangement or unexpected task.",CanTong Lexicon 2025,119
L120,戾偈,lai2 gai6,唔順利；大鍋；撈絞；大劑；大鑊；大檸樂；擇使；湿劑,,棘手/不顺利/麻烦了/麻烦大/事态严重,Tricky/Inflexibility of hands and feet/oh shit/bad situation/ disaster/crisis/trouble/a difficult mess,形容词：形容事情或情况很棘手不顺利不太灵活做起事来卡住,adj: to describe that something serious has happened; to be in big trouble; a difficult mess,用法：进展不顺或动作不灵活想表达整件事很棘手不太顺利,"usage: When things aren't going well or actions are clumsy, it's used to express that the whole thing is tricky and not going smoothly.",CanTong Lexicon 2025,120
L121,咪嚒,mi1 mo1,咪摩；痾裹；资整；娿哿；咪咪嚒嚒；资资整整,,磨蹭/动作慢/慢吞吞/磨磨蹭蹭,slow and clumsy,形容词：某人做事缓慢笨拙，做事非常慢，耗时很长。,"adj: of one's pace of doing things slow and clumsy，to be very slow in doing something,to take a long time to do something ",用法：有着嫌弃的态度，不耐烦一些抓细节动作慢影响到效率的人,"usage: Used to express disdain or impatience towards people who are meticulous, slow, and inefficient.",CanTong Lexicon 2025,121
L122,娿哿,o1 go6,娿哿；婆婆媽媽；婆媽；奄尖聲悶,,长气/啰嗦/婆婆妈妈/婆妈/要求​多多/三心两意/犹豫不决/犹豫不决/鬼鬼祟祟/人拖拖拉拉/優柔寡斷/要求多多,very clumsy/indecisive/verbose/picky about trivial matters/clumsy,形容词：婆婆​媽媽​，​做事​慢半拍​，不能​爽快​决定，要求多多、麻烦又多投诉。,"adj: slow and indecisive, hesitant",用法：形容猶豫不決的情况，形容行為拖拉情况同时还形容“怎么你这么麻烦”,"usage: Describes a situation of indecisiveness, a procrastination, and also implies ""Why are you so troublesome?""",CanTong Lexicon 2025,122
L123,惡啃,ok3 kang2,猪头骨,,难以接受/难以处理/难以应对,hard to stomach/difficult to deal with/Difficult to tackle,名词：猪骨，通常用于熬汤，（俚语）指难啃但无用的东西；无利可图的东西，指不够好但丢弃又可惜的东西，可有可无的东西，非必需品,"n: pork bone, usually for making stock, (slang) something that is tough but not rewarding, something that is unprofitable, something that is not good enough to get you excited but that is still a pity to be discarded, the expendable things, the non-essentials",用法：高投入低回报的工作，比喻无用的、无利可图的生意或没人愿意接手的棘手任务,"usage: High-input, low-return work; a metaphor for useless, unprofitable business or a difficult task that no one wants to take on.",CanTong Lexicon 2025,123
